+----------------------------+-----------------+------+-----+---------+----------------+
| Field                      | Type            | Null | Key | Default | Extra          |
+----------------------------+-----------------+------+-----+---------+----------------+
| id                         | int(5) unsigned | NO   | PRI | NULL    | auto_increment |
| inst_id                    | varchar(128)    | NO   |     | NULL    |                |
| inst_code                  | int(5) unsigned | NO   |     | NULL    |                |
| eng_name                   | varchar(128)    | NO   |     | NULL    |                |
| jap_name                   | varchar(128)    | NO   |     | NULL    |                |
| kana                       | varchar(128)    | NO   |     | NULL    |                |
| school_code                | int(5) unsigned | NO   |     | NULL    |                |
| area                       | varchar(128)    | NO   |     | NULL    |                |
| pref                       | varchar(128)    | NO   |     | NULL    |                |
| postal_code                | varchar(128)    | NO   |     | NULL    |                |
| access                     | varchar(128)    | NO   |     | NULL    |                |
| instl_status               | varchar(128)    | NO   |     | NULL    |                |
| study1                     | int(5) unsigned | NO   |     | NULL    |                |
| study2                     | int(5) unsigned | NO   |     | NULL    |                |
| study3                     | int(5) unsigned | NO   |     | NULL    |                |
| study4                     | int(5) unsigned | NO   |     | NULL    |                |
| study5                     | int(5) unsigned | NO   |     | NULL    |                |
| study6                     | int(5) unsigned | NO   |     | NULL    |                |
| study7                     | int(5) unsigned | NO   |     | NULL    |                |
| study8                     | int(5) unsigned | NO   |     | NULL    |                |
| study9                     | int(5) unsigned | NO   |     | NULL    |                |
| study10                    | int(5) unsigned | NO   |     | NULL    |                |
| study11                    | int(5) unsigned | NO   |     | NULL    |                |
| study12                    | int(5) unsigned | NO   |     | NULL    |                |
| study13                    | int(5) unsigned | NO   |     | NULL    |                |
| study14                    | int(5) unsigned | NO   |     | NULL    |                |
| study15                    | int(5) unsigned | NO   |     | NULL    |                |
| study16                    | int(5) unsigned | NO   |     | NULL    |                |
| study17                    | int(5) unsigned | NO   |     | NULL    |                |
| sp_flg                     | int(5) unsigned | NO   |     | NULL    |                |
| jur_url                    | varchar(128)    | NO   |     | NULL    |                |
| manabi_url                 | varchar(128)    | NO   |     | NULL    |                |
| url1                       | varchar(128)    | YES  |     | NULL    |                |
| url2                       | varchar(128)    | NO   |     | NULL    |                |
| url3                       | varchar(128)    | NO   |     | NULL    |                |
| the_rnk                    | varchar(16)     | NO   |     | NULL    |                |
| total_rnk                  | int(5) unsigned | NO   |     | NULL    |                |
| total_rnk_v                | varchar(16)     | NO   |     | NULL    |                |
| res_rnk                    | int(5) unsigned | NO   |     | NULL    |                |
| res_rnk_v                  | varchar(16)     | NO   |     | NULL    |                |
| eng_rnk                    | int(5) unsigned | NO   |     | NULL    |                |
| eng_rnk_v                  | varchar(16)     | NO   |     | NULL    |                |
| out_rnk                    | int(5) unsigned | NO   |     | NULL    |                |
| out_rnk_v                  | varchar(16)     | NO   |     | NULL    |                |
| env_rnk                    | int(5) unsigned | NO   |     | NULL    |                |
| env_rnk_v                  | varchar(16)     | NO   |     | NULL    |                |
| hokkaido-tohoku_rnk_v      | varchar(16)     | NO   |     | NULL    |                |
| kitakanto-koshinetsu_rnk_v | varchar(16)     | NO   |     | NULL    |                |
| shutoken_rnk_v             | varchar(16)     | NO   |     | NULL    |                |
| hokuriku-tokai_rnk_v       | varchar(16)     | NO   |     | NULL    |                |
| kinki_rnk_v                | varchar(16)     | NO   |     | NULL    |                |
| chugoku-shikoku_rnk_v      | varchar(16)     | NO   |     | NULL    |                |
| kyushu-okinawa_rnk_v       | varchar(16)     | NO   |     | NULL    |                |
| manabi_rnk1                | int(5)          | NO   |     | NULL    |                |
| manabi_rnk2                | varchar(16)     | NO   |     | NULL    |                |
| manabi_rnk3                | varchar(16)     | NO   |     | NULL    |                |
| manabi_text                | varchar(128)    | NO   |     | NULL    |                |
| manabi_flag                | int(5)          | NO   |     | NULL    |                |
| manabi_option              | varchar(128)    | NO   |     | NULL    |                |
| rnk1                       | int(5) unsigned | YES  |     | NULL    |                |
| rnk_v1                     | varchar(16)     | NO   |     | NULL    |                |
| rnk2                       | int(5) unsigned | NO   |     | NULL    |                |
| rnk_v2                     | varchar(16)     | NO   |     | NULL    |                |
| total_score                | float(12,1)     | NO   |     | NULL    |                |
| total_score_v              | varchar(16)     | NO   |     | NULL    |                |
| total_score_p              | varchar(16)     | NO   |     | NULL    |                |
